Province,Practices,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area,CO2e,Act Area
AB,Conventional to Reduced,-3.151042,22163.0106,-3.005803,21289.03043,-2.684831,19232.3065,-2.301291,16662.61143,-1.813143,13261.16656,-1.187855,8739.567929,-0.494354,3595.976919,-0.292783,2125.588594,-0.160537,1165.905294,-0.085061,610.7242508,-0.060494,433.1767558,-0.043102,305.2227218,-0.030781,217.0165898,-0.023102,162.5433408,-0.01548,110.4074648,-0.011945,86.81253085,-0.009611,70.82548188,-0.008241,61.68437089,-0.007753,58.9915099,-0.00757,58.6804459,-0.007363,58.43036089,-0.006833,54.66310893,-0.005729,46.18131097,-0.004549,37.18029296,-0.003425,28.35105497,-0.002466,20.58052597,-0.001594,13.07055298,-0.001898,13.48344099,-0.002854,19.67910297,-0.004197,29.12887997,-0.005564,38.88603995,-0.00693,48.84887292,-0.008193,58.60371691
AB,Conventional to Reduced,-193.144489,1103766.144,-200.956713,1157930.199,-221.362519,1266494.867,-240.993548,1373673.365,-260.738455,1483606.144,-279.907778,1593470.543,-298.480416,1702465.718,-300.082858,1733775.364,-301.604055,1764256.089,-302.397722,1786636.863,-302.846011,1806336.733,-301.497869,1808423.987,-292.856398,1780714.813,-284.260881,1751506.856,-275.939093,1722721.022,-267.519751,1690996.818,-260.62128,1674316.255,-252.931785,1639398.791,-245.160128,1601240.89,-238.152874,1569501.509,-230.919093,1533472.897,-224.062791,1499299.678,-215.482447,1460714.961,-207.130054,1422707.379,-199.085134,1385803.543,-190.741204,1343748.134,-182.862077,1304421.934,-175.222588,1263037.29,-167.76132,1221329.702,-159.998328,1173558.42,-152.56499,1127889.669,-145.34212,1083759.128,-139.437192,1051294.462
AB,Conventional to Zero-till,-2.286108,5441.297614,-2.280514,5475.853984,-2.635992,6246.602384,-2.729951,6452.749043,-2.483074,5883.794657,-1.87621,4451.574488,-0.942537,2216.046701,-0.843403,1947.544135,-0.637858,1465.684784,-0.485411,1118.390851,-0.374053,872.3386897,-0.255836,604.2435087,-0.20746,502.2411178,-0.184097,454.3415578,-0.179328,447.3088558,-0.182803,461.8509028,-0.186931,478.8162548,-0.181953,474.9412938,-0.183022,486.5478138,-0.185484,501.9522238,-0.18817,518.0536429,-0.174669,483.6593408,-0.142528,398.3906048,-0.114275,319.8317808,-0.089488,247.9737688,-0.071193,194.6650218,-0.056416,152.4303879,-0.037826,99.0131219,-0.029073,73.67165687,-0.028208,71.56755089,-0.02796,71.26324789,-0.027448,70.88300488,-0.026549,69.58430793
AB,Conventional to Zero-till,-50.514357,109948.9462,-55.788965,123109.8578,-120.156481,232408.8764,-182.66467,341921.1177,-243.590559,451921.0253,-304.044877,563999.2992,-363.272812,677088.9296,-480.748792,891184.9215,-594.929311,1105265.136,-707.065952,1320847.142,-817.631887,1538575.558,-927.953061,1761173.139,-971.936391,1877166.916,-1014.310375,1992991.584,-1055.586977,2108992.115,-1096.594725,2226315.776,-1136.120328,2342984.507,-1176.583821,2462800.475,-1216.111705,2582777.287,-1255.130222,2703600.829,-1291.908901,2822748.531,-1326.382741,2940457.131,-1297.399132,2954405.988,-1268.866919,2967813.638,-1241.389711,2981603.571,-1214.259872,2994768.903,-1187.851605,3007896.184,-1157.829534,3012956.223,-1128.529392,3017900.42,-1099.756059,3022309.278,-1071.810722,3026789.139,-1045.591503,3032680.281,-1019.97447,3038541.574
AB,Reduced to Conventional,0.000039,0.263552,0.000035,0.238671,0.025497,157.7743059,0.047055,294.0927269,0.06466,408.5706059,0.059884,383.6718579,0.039273,257.0844899,0.018398,125.2461659,0.014297,100.32541,0.0102,74.13241396,0.010056,74.12835196,0.009868,74.12429595,0.009761,74.26355696,0.009624,74.38792996,0.009484,74.48662096,0.009344,74.53527196,0.009213,74.57197695,0.009064,74.56791395,0.008918,74.56385195,0.008786,74.55979595,0.008645,74.55573395,0.006071,53.09349494,0.003363,29.74436096,0.0015,13.41535197,0.000377,3.510323,0.00004,0.472111,0.000018,0.29857599,0.000011,0.261267,0.000004,0.237579,,0.222234,,0.215959,,0.219059,,0.273853
AB,Reduced to Conventional,0.00018,1.376448,0.000617,3.501331,0.681303,4307.825694,1.350336,8617.23728,2.008918,12939.63939,2.678081,17405.87815,3.354255,21995.6755,3.324754,22179.15383,3.277495,22243.2346,3.221802,22271.91756,3.164749,22280.83162,3.107212,22282.99569,3.084609,22445.86643,3.049644,22548.55205,3.00119,22596.56334,2.978922,22724.3247,2.969876,22909.55798,2.931689,23002.85206,2.893286,23090.09609,2.848592,23141.47009,2.813558,23238.55416,2.776316,23317.44642,3.401979,25740.64554,3.95379,27867.44456,4.466705,29722.45957,4.911895,31366.18781,5.426253,33392.38131,5.878694,36191.78865,6.323686,39034.15237,6.756484,41996.5377,7.213917,45090.914,7.645247,48173.03081,7.772911,48223.60596
AB,Reduced to Zero-till,-0.002325,9.873866,-0.006212,24.89717897,-0.058592,262.1953808,-0.093439,424.7131948,-0.103499,477.1294178,-0.094667,444.3442859,-0.063042,304.5841809,-0.083243,401.5577129,-0.087021,423.0924148,-0.060202,298.0543779,-0.044126,222.433906,-0.016411,87.31596194,-0.025394,133.8186609,-0.031439,167.1022358,-0.03468,188.8482198,-0.037593,208.7979358,-0.039925,225.7413378,-0.039851,229.9862208,-0.042553,247.2418529,-0.045923,269.9802788,-0.049238,293.1159498,-0.048624,286.0634318,-0.042243,244.8527458,-0.036477,207.7054459,-0.03193,176.6136959,-0.029818,161.1946289,-0.028933,154.7659209,-0.022835,121.3433878,-0.019344,102.4223629,-0.018419,98.75995484,-0.01803,98.11170584,-0.017187,94.31403692,-0.016558,91.48652686
AB,Reduced to Zero-till,-0.138999,467.2287639,-0.183489,610.9529729,-0.709292,2810.881921,-1.215559,5019.913711,-1.695004,7261.646429,-2.271725,9805.926973,-2.884426,12517.13587,-15.817011,57789.57459,-28.469009,103083.5112,-40.752949,148248.5945,-52.490949,192808.7861,-63.556949,235936.6696,-110.130221,405878.4565,-154.72723,573202.4723,-197.947457,739739.2155,-239.600019,904818.1795,-279.921579,1069255.169,-299.702894,1159482.518,-318.763873,1248954.524,-336.871165,1336890.285,-354.002827,1423281.437,-370.052397,1507635.136,-372.245325,1545865.62,-374.533786,1584519.747,-376.882321,1623588.231,-379.710523,1664056.468,-382.199562,1703970.325,-373.739018,1708257.464,-365.152484,1709975.21,-356.697167,1711422.573,-348.581296,1713160.033,-340.477974,1712887.17,-332.401488,1712350.395
AB,Zero-till to Conventional,0.000008,0.01,0.000008,0.01,0.00472,9.97676999,0.007195,15.40656394,0.007779,16.79373799,0.006574,14.36552397,0.003307,7.308077,0.001801,4.092885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000181,0.40629,0.000374,0.83989699,0.000543,1.258905,0.000773,1.796432,0.001053,2.447218,0.002965,7.03479,0.004752,11.528346,0.006514,16.00122499,0.00823,20.44448898,0.009888,24.87448198,0.011425,29.15184696
AB,Zero-till to Conventional,,,,,0.019075,40.17323296,0.039778,84.7634459,0.0614,132.6162679,0.085374,186.6944828,0.11073,245.1619369,0.109566,248.9371298,0.108432,253.0300039,0.105596,253.0300019,0.102862,253.0300089,0.100165,253.0300068,0.149616,333.3500299,0.189986,401.2700288,0.236155,479.9300268,0.276945,551.5700158,0.307984,610.5000078,0.305824,619.8400398,0.319512,653.0200328,0.362657,732.4700228,0.383077,778.5400348,0.434098,872.3700278,1.225273,2169.203751,1.99307,3471.750144,2.72614,4750.841145,3.709526,6439.723603,4.585066,8023.582829,13.627925,22358.52526,22.273786,36480.69174,30.78328,50752.99883,39.076552,65071.45553,47.29,79626.23558,54.862908,93583.61817
